'Time and date','I','aVL','ABP','PAP','CVP','PLETH','CO2'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mmHg'
'[07:01:26.000 19/03/1996]',-0.480,-0.670,55.450,29.975,14.078,0.000,34.283
'[07:01:26.002 19/03/1996]',-0.479,-0.669,55.450,29.975,14.078,0.000,34.283
'[07:01:26.004 19/03/1996]',-0.477,-0.667,55.450,29.975,14.078,0.000,34.283
'[07:01:26.006 19/03/1996]',-0.476,-0.665,55.450,29.975,14.078,0.000,34.283
'[07:01:26.008 19/03/1996]',-0.476,-0.662,57.800,31.375,13.664,0.000,34.283
'[07:01:26.010 19/03/1996]',-0.476,-0.660,57.800,31.375,13.664,0.000,34.283
'[07:01:26.012 19/03/1996]',-0.476,-0.656,57.800,31.375,13.664,0.000,34.283
'[07:01:26.014 19/03/1996]',-0.476,-0.652,57.800,31.375,13.664,0.000,34.283
'[07:01:26.016 19/03/1996]',-0.475,-0.644,61.500,32.600,13.187,0.000,34.283
'[07:01:26.018 19/03/1996]',-0.475,-0.637,61.500,32.600,13.187,0.000,34.283
'[07:01:26.020 19/03/1996]',-0.473,-0.626,61.500,32.600,13.187,0.000,34.283
'[07:01:26.022 19/03/1996]',-0.472,-0.616,61.500,32.600,13.187,0.000,34.283
'[07:01:26.024 19/03/1996]',-0.471,-0.603,66.000,33.600,12.773,0.000,34.283
'[07:01:26.026 19/03/1996]',-0.470,-0.589,66.000,33.600,12.773,0.000,34.283
'[07:01:26.028 19/03/1996]',-0.467,-0.575,66.000,33.600,12.773,0.000,34.283
'[07:01:26.030 19/03/1996]',-0.464,-0.560,66.000,33.600,12.773,0.000,34.283
'[07:01:26.032 19/03/1996]',-0.460,-0.548,70.950,34.425,12.371,0.000,34.217
'[07:01:26.034 19/03/1996]',-0.456,-0.537,70.950,34.425,12.371,0.000,34.217
'[07:01:26.036 19/03/1996]',-0.453,-0.530,70.950,34.425,12.371,0.000,34.217
'[07:01:26.038 19/03/1996]',-0.449,-0.523,70.950,34.425,12.371,0.000,34.217
'[07:01:26.040 19/03/1996]',-0.448,-0.518,75.800,35.225,11.957,0.000,34.200
'[07:01:26.042 19/03/1996]',-0.446,-0.514,75.800,35.225,11.957,0.000,34.200
'[07:01:26.044 19/03/1996]',-0.445,-0.511,75.800,35.225,11.957,0.000,34.200
'[07:01:26.046 19/03/1996]',-0.444,-0.508,75.800,35.225,11.957,0.000,34.200
'[07:01:26.048 19/03/1996]',-0.442,-0.506,80.550,36.050,11.543,0.000,34.183
'[07:01:26.050 19/03/1996]',-0.440,-0.504,80.550,36.050,11.543,0.000,34.183
'[07:01:26.052 19/03/1996]',-0.436,-0.502,80.550,36.050,11.543,0.000,34.183
'[07:01:26.054 19/03/1996]',-0.432,-0.501,80.550,36.050,11.543,0.000,34.183
'[07:01:26.056 19/03/1996]',-0.428,-0.501,85.100,36.825,11.255,0.000,34.167
'[07:01:26.058 19/03/1996]',-0.424,-0.501,85.100,36.825,11.255,0.000,34.167
'[07:01:26.060 19/03/1996]',-0.421,-0.501,85.100,36.825,11.255,0.000,34.167
'[07:01:26.062 19/03/1996]',-0.418,-0.501,85.100,36.825,11.255,0.000,34.167
'[07:01:26.064 19/03/1996]',-0.416,-0.501,89.450,37.575,11.016,0.000,34.183
'[07:01:26.066 19/03/1996]',-0.414,-0.502,89.450,37.575,11.016,0.000,34.183
'[07:01:26.068 19/03/1996]',-0.414,-0.504,89.450,37.575,11.016,0.000,34.183
'[07:01:26.070 19/03/1996]',-0.414,-0.506,89.450,37.575,11.016,0.000,34.183
'[07:01:26.072 19/03/1996]',-0.415,-0.509,93.350,38.100,10.891,0.000,34.233
'[07:01:26.074 19/03/1996]',-0.417,-0.512,93.350,38.100,10.891,0.000,34.233
'[07:01:26.076 19/03/1996]',-0.418,-0.513,93.350,38.100,10.891,0.000,34.233
'[07:01:26.078 19/03/1996]',-0.419,-0.515,93.350,38.100,10.891,0.000,34.233
'[07:01:26.080 19/03/1996]',-0.419,-0.516,96.650,38.400,10.841,0.000,34.283
'[07:01:26.082 19/03/1996]',-0.420,-0.517,96.650,38.400,10.841,0.000,34.283
'[07:01:26.084 19/03/1996]',-0.421,-0.517,96.650,38.400,10.841,0.000,34.283
'[07:01:26.086 19/03/1996]',-0.422,-0.517,96.650,38.400,10.841,0.000,34.283
'[07:01:26.088 19/03/1996]',-0.423,-0.516,99.250,38.525,10.954,0.000,34.333
'[07:01:26.090 19/03/1996]',-0.425,-0.515,99.250,38.525,10.954,0.000,34.333
'[07:01:26.092 19/03/1996]',-0.427,-0.514,99.250,38.525,10.954,0.000,34.333
'[07:01:26.094 19/03/1996]',-0.429,-0.513,99.250,38.525,10.954,0.000,34.333
'[07:01:26.096 19/03/1996]',-0.431,-0.513,100.950,38.575,11.255,0.000,34.317
'[07:01:26.098 19/03/1996]',-0.434,-0.513,100.950,38.575,11.255,0.000,34.317
'[07:01:26.100 19/03/1996]',-0.437,-0.515,100.950,38.575,11.255,0.000,34.317
'[07:01:26.102 19/03/1996]',-0.440,-0.518,100.950,38.575,11.255,0.000,34.317
'[07:01:26.104 19/03/1996]',-0.444,-0.522,101.850,38.450,11.656,0.000,34.300
'[07:01:26.106 19/03/1996]',-0.447,-0.527,101.850,38.450,11.656,0.000,34.300
'[07:01:26.108 19/03/1996]',-0.449,-0.532,101.850,38.450,11.656,0.000,34.300
'[07:01:26.110 19/03/1996]',-0.451,-0.537,101.850,38.450,11.656,0.000,34.300
'[07:01:26.112 19/03/1996]',-0.453,-0.541,102.150,38.275,12.133,0.000,34.283
'[07:01:26.114 19/03/1996]',-0.454,-0.546,102.150,38.275,12.133,0.000,34.283
'[07:01:26.116 19/03/1996]',-0.455,-0.548,102.150,38.275,12.133,0.000,34.283
'[07:01:26.118 19/03/1996]',-0.455,-0.550,102.150,38.275,12.133,0.000,34.283
'[07:01:26.120 19/03/1996]',-0.456,-0.551,101.950,38.050,12.723,0.000,34.267
'[07:01:26.122 19/03/1996]',-0.457,-0.552,101.950,38.050,12.723,0.000,34.267
'[07:01:26.124 19/03/1996]',-0.458,-0.552,101.950,38.050,12.723,0.000,34.267
'[07:01:26.126 19/03/1996]',-0.458,-0.553,101.950,38.050,12.723,0.000,34.267
'[07:01:26.128 19/03/1996]',-0.458,-0.553,101.150,37.700,13.363,0.000,34.283
'[07:01:26.130 19/03/1996]',-0.457,-0.553,101.150,37.700,13.363,0.000,34.283
'[07:01:26.132 19/03/1996]',-0.457,-0.554,101.150,37.700,13.363,0.000,34.283
'[07:01:26.134 19/03/1996]',-0.457,-0.556,101.150,37.700,13.363,0.000,34.283
'[07:01:26.136 19/03/1996]',-0.457,-0.558,100.000,37.175,14.015,0.000,34.350
