'Time and date','MCL1 ','II ','V ','ABP ','PLETH '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV'
'[13:41:09.000 12/05/1995]',-0.029,-0.064,-0.011,75.602,0.118
'[13:41:09.002 12/05/1995]',-0.023,-0.048,-0.005,75.602,0.118
'[13:41:09.004 12/05/1995]',-0.023,-0.064,-0.023,75.602,0.118
'[13:41:09.006 12/05/1995]',-0.023,-0.031,-0.023,75.602,0.118
'[13:41:09.008 12/05/1995]',-0.029,-0.015,-0.029,75.002,0.118
'[13:41:09.010 12/05/1995]',-0.029,0.001,-0.035,75.002,0.118
'[13:41:09.012 12/05/1995]',-0.035,0.034,-0.029,75.002,0.118
'[13:41:09.014 12/05/1995]',-0.029,0.099,-0.005,75.002,0.118
'[13:41:09.016 12/05/1995]',-0.035,0.148,-0.005,74.477,0.123
'[13:41:09.018 12/05/1995]',-0.047,0.148,-0.011,74.477,0.123
'[13:41:09.020 12/05/1995]',-0.053,0.115,-0.029,74.477,0.123
'[13:41:09.022 12/05/1995]',-0.047,0.099,-0.035,74.477,0.123
'[13:41:09.024 12/05/1995]',-0.053,0.099,-0.046,74.027,0.114
'[13:41:09.026 12/05/1995]',-0.053,0.066,-0.064,74.027,0.114
'[13:41:09.028 12/05/1995]',-0.053,0.066,-0.070,74.027,0.114
'[13:41:09.030 12/05/1995]',-0.053,0.034,-0.052,74.027,0.114
'[13:41:09.032 12/05/1995]',-0.047,0.017,-0.052,73.577,0.108
'[13:41:09.034 12/05/1995]',-0.035,0.001,-0.046,73.577,0.108
'[13:41:09.036 12/05/1995]',-0.029,0.017,-0.035,73.577,0.108
'[13:41:09.038 12/05/1995]',-0.035,0.034,-0.029,73.577,0.108
'[13:41:09.040 12/05/1995]',-0.047,0.050,-0.029,73.127,0.083
'[13:41:09.042 12/05/1995]',-0.053,0.034,-0.029,73.127,0.083
'[13:41:09.044 12/05/1995]',-0.065,0.034,-0.035,73.127,0.083
'[13:41:09.046 12/05/1995]',-0.065,0.017,-0.046,73.127,0.083
'[13:41:09.048 12/05/1995]',-0.071,0.017,-0.046,72.677,0.067
'[13:41:09.050 12/05/1995]',-0.071,0.017,-0.052,72.677,0.067
'[13:41:09.052 12/05/1995]',-0.088,0.034,-0.064,72.677,0.067
'[13:41:09.054 12/05/1995]',-0.094,0.050,-0.064,72.677,0.067
'[13:41:09.056 12/05/1995]',-0.094,0.050,-0.070,72.227,0.046
'[13:41:09.058 12/05/1995]',-0.088,0.083,-0.064,72.227,0.046
'[13:41:09.060 12/05/1995]',-0.088,0.099,-0.064,72.227,0.046
'[13:41:09.062 12/05/1995]',-0.088,0.115,-0.064,72.227,0.046
'[13:41:09.064 12/05/1995]',-0.088,0.148,-0.064,71.927,0.021
'[13:41:09.066 12/05/1995]',-0.088,0.148,-0.064,71.927,0.021
'[13:41:09.068 12/05/1995]',-0.088,0.132,-0.064,71.927,0.021
'[13:41:09.070 12/05/1995]',-0.077,0.115,-0.070,71.927,0.021
'[13:41:09.072 12/05/1995]',-0.077,0.099,-0.064,71.552,0.005
'[13:41:09.074 12/05/1995]',-0.088,0.099,-0.070,71.552,0.005
'[13:41:09.076 12/05/1995]',-0.088,0.083,-0.076,71.552,0.005
'[13:41:09.078 12/05/1995]',-0.077,0.066,-0.076,71.552,0.005
'[13:41:09.080 12/05/1995]',-0.088,0.050,-0.087,71.177,-0.021
'[13:41:09.082 12/05/1995]',-0.088,0.034,-0.087,71.177,-0.021
'[13:41:09.084 12/05/1995]',-0.077,0.034,-0.093,71.177,-0.021
'[13:41:09.086 12/05/1995]',-0.077,0.034,-0.087,71.177,-0.021
'[13:41:09.088 12/05/1995]',-0.071,0.034,-0.087,70.952,-0.042
